,id,time,open,high,low,close,volume,ranges,MA7,MA25,MA99,upperBB,lowerBB
168,169,2020-02-24,9943.12,10000,9487.38,9662.95,157966,512.62,9759.51,9791.94,8260.32,10458.8,9125.09
169,170,2020-02-25,9662.88,9686.78,9247,9326,168642,439.78,9638.33,9790.4,8271.86,10461.5,9119.27
170,171,2020-02-26,9326,9384,8610,8792.22,267005,774,9523.84,9766.38,8278.53,10533,8999.75
171,172,2020-02-27,8793.96,8978,8533.9,8828,200638,444.1,9413.27,9745.97,8285.94,10583.9,8908.01
172,173,2020-02-28,8827.12,8908.86,8450,8699.57,196066,458.86,9273.01,9721.92,8296.83,10643.4,8800.4
173,174,2020-02-29,8699.86,8799.83,8530,8531.98,103525,269.83,9111.98,9695.27,8309.65,10713.4,8677.16
174,175,2020-03-01,8532.5,8762.24,8409,8537.84,174333,353.24,8911.22,9651.58,8322.09,10770.1,8533.03
175,176,2020-03-02,8537.84,8972,8504.95,8919.7,160294,467.05,8805.04,9617.25,8342.49,10771.7,8462.75
176,177,2020-03-03,8919.7,8922.34,8657.41,8765,160124,264.93,8724.9,9574.99,8359.28,10774.8,8375.19
177,178,2020-03-04,8765,8853.88,8669.23,8756.93,105462,184.65,8719.86,9529.01,8375.52,10763.5,8294.53
178,179,2020-03-05,8755.98,9172.3,8755.98,9062.81,161841,416.32,8753.4,9484.82,8391.23,10703.1,8266.59
179,180,2020-03-06,9062.62,9179.75,8994.14,9139.48,115012,185.61,8816.25,9455.78,8408.64,10670.8,8240.75
180,181,2020-03-07,9139.77,9204,8850,8897.18,125805,354,8868.42,9402.5,8420.37,10592.8,8212.2
181,182,2020-03-08,8895.62,8897.71,7997.7,8038.46,237407,900.01,8797.08,9310.44,8425.37,10553.5,8067.41
182,183,2020-03-09,8038.99,8182.31,7635.21,7932.15,334399,547.1,8656,9218.14,8430.88,10515.2,7921.09
183,184,2020-03-10,7932.45,8156.31,7733,7897.66,257069,423.31,8532.1,9119.78,8437,10429.9,7809.61
184,185,2020-03-11,7898.21,7988,7593.29,7938.39,220537,394.71,8415.16,9040.71,8443.54,10388.9,7692.48
185,186,2020-03-12,7938.39,7969,4347,4764.65,784747,3622,7801.14,8834.42,8419.03,10969.5,6699.37
186,187,2020-03-13,4762.28,5971,3621.81,5570.26,935489,2349.19,7291.25,8668.59,8400.7,11136.4,6200.77
187,188,2020-03-14,5569.84,5638.42,5040,5167.01,316243,598.42,6758.37,8468.3,8376.92,11223.1,5713.55
188,189,2020-03-15,5167.21,5954.47,5089.12,5357.32,356312,865.35,6375.35,8298.85,8355.4,11277.3,5320.43
189,190,2020-03-16,5354.81,5361.26,4413.62,5026.26,621556,947.64,5960.22,8115.82,8330.33,11314.8,4916.86
190,191,2020-03-17,5027.11,5529.98,4913.49,5307.38,429908,616.49,5590.18,7940.86,8309.83,11259.3,4622.45
191,192,2020-03-18,5306.42,5435,4982.75,5389.64,402006,452.25,5226.07,7770.08,8291.33,11158.7,4381.42
192,193,2020-03-19,5389.94,6400,5246.5,6159.6,499391,1153.5,5425.35,7618.74,8280.76,10940.3,4297.17
193,194,2020-03-20,6159.41,6911,5650,6203.77,571898,1261,5515.85,7480.37,8270.75,10734.6,4226.1
194,195,2020-03-21,6204.47,6457.17,5854.01,6183.69,387680,603.16,5661.09,7354.68,8259.95,10554.2,4155.16
195,196,2020-03-22,6183.84,6408.91,5730.35,5810.17,391003,678.56,5725.79,7235.4,8247.31,10434,4036.83
196,197,2020-03-23,5810.3,6619.9,5670,6463.84,489746,949.9,5931.16,7140.83,8240.73,10282.5,3999.17
197,198,2020-03-24,6463.21,6840,6369,6741.33,437969,471,6136.01,7062.5,8239.26,10139.2,3985.79
198,199,2020-03-25,6740.86,6960.71,6436.26,6673.41,400685,524.45,6319.4,6988.16,8239.81,10006.2,3970.14
199,200,2020-03-26,6673.57,6777.5,6500,6733.76,281246,277.5,6401.42,6915.99,8234.31,9865.11,3966.88
200,201,2020-03-27,6733.76,6840,6230,6353.64,258214,610,6422.83,6813.35,8226.31,9648.3,3978.4
201,202,2020-03-28,6353.64,6354.74,6004,6230.95,341944,350.74,6429.59,6711.99,8216.68,9435.2,3988.78
202,203,2020-03-29,6231.81,6260,5857.6,5876.27,251336,402.4,6439.03,6596.76,8204,9200.6,3992.93
203,204,2020-03-30,5876.27,6606.15,5850,6391.08,387322,756.15,6428.63,6489.89,8192.77,8882.77,4097.02
204,205,2020-03-31,6389.52,6516.63,6320,6407.1,262523,196.63,6380.89,6380.6,8183.61,8503.61,4257.58
205,206,2020-04-01,6407.1,6693,6140,6641.51,390530,553,6376.33,6290.37,8177.44,8142.15,4438.59
206,207,2020-04-02,6641.22,7290,6542.73,6791.63,531321,747.27,6384.6,6240.5,8173.3,7958.43,4522.57
207,208,2020-04-03,6791.65,7049.11,6600,6729.8,411945,449.11,6438.33,6192.4,8168.58,7775,4609.81
208,209,2020-04-04,6729.8,7020,6629.99,6851.1,319850,390.01,6526.93,6150.54,8164.57,7594.49,4706.6
209,210,2020-04-05,6851.4,6893.44,6668.02,6768.9,239225,225.42,6654.45,6103.76,8159.09,7371.38,4836.15
210,211,2020-04-06,6768.9,7370,6760,7325.73,461331,610,6787.97,6206.21,8158.5,7436.29,4976.12
211,212,2020-04-07,7325.73,7457,7070.43,7192.9,419572,386.57,6900.22,6271.11,8158.02,7532.23,5009.99
212,213,2020-04-08,7192.9,7417.83,7145.14,7357.66,332600,272.69,7002.53,6358.74,8159.73,7604.54,5112.94
213,214,2020-04-09,7357.15,7365.69,7105.98,7278.65,293639,259.71,7072.11,6435.59,8160.54,7660.87,5210.31
214,215,2020-04-10,7278.83,7290,6741,6857.82,440148,549,7090.39,6508.85,8159.49,7594.04,5423.67
215,216,2020-04-11,6858,6944.28,6757.29,6874.18,224158,186.99,7093.69,6571.53,8154.77,7542.56,5600.49
216,217,2020-04-12,6874.17,7173.98,6775.66,6900.52,321595,398.32,7112.49,6631.96,8150.22,7476.31,5787.61
217,218,2020-04-13,6900.19,6900.99,6558,6834,421955,342.99,7042.25,6658.94,8144.97,7483.26,5834.61
218,219,2020-04-14,6834.01,6975.6,6751,6864.11,280445,224.6,6995.28,6685.35,8135.94,7491.01,5879.69
219,220,2020-04-15,6864.11,6929,6602.59,6616.89,281137,326.41,6889.45,6702.68,8120.43,7481.57,5923.79
220,221,2020-04-16,6616.88,7190.92,6465.33,7098.15,559869,725.59,6863.67,6754.2,8110.72,7453.42,6054.97
221,222,2020-04-17,7098.15,7140,6981,7022.44,277340,159,6887.18,6776.54,8102.68,7472.8,6080.28
222,223,2020-04-18,7022,7290,7008.11,7242.42,225807,281.89,6939.79,6796.58,8092.93,7517.05,6076.12
223,224,2020-04-19,7242.49,7258.42,7055,7118.03,216975,203.42,6970.86,6814.37,8083.81,7544.06,6084.68
224,225,2020-04-20,7118.04,7208.55,6735.95,6825.29,445105,472.6,6969.62,6818.03,8070.06,7546.95,6089.11
225,226,2020-04-21,6825.28,6940,6759.16,6838,288025,180.84,6965.89,6837.41,8057.18,7540.18,6134.63
226,227,2020-04-22,6838,7154.9,6812.57,7120.06,306482,342.33,7037.77,6872.97,8039.96,7536.77,6209.17
227,228,2020-04-23,7120.06,7802.38,7020,7483.35,472510,782.38,7092.8,6937.25,8026.41,7502.89,6371.62
228,229,2020-04-24,7483.36,7612.91,7388,7504.11,278378,224.91,7161.61,6981.77,8014.07,7543.49,6420.06
229,230,2020-04-25,7504.62,7722.33,7433,7534.01,243267,289.33,7203.26,7026.85,8000.09,7577.16,6476.54
230,231,2020-04-26,7534.01,7709.57,7476.86,7694.17,269922,232.71,7285.57,7068.96,7987.66,7656.26,6481.65
231,232,2020-04-27,7693.63,7795.6,7623.98,7774,290336,171.62,7421.1,7108.25,7978.24,7747.41,6469.1
232,233,2020-04-28,7774,7780,7662.49,7735.75,217653,117.51,7549.35,7148.49,7969.01,7814.47,6482.51
233,234,2020-04-29,7735.76,8988.66,7710,8784.2,871198,1278.66,7787.08,7225.81,7969.43,8147.66,6303.97
234,235,2020-04-30,8784.05,9479.77,8400,8624.76,944212,1079.77,7950.14,7300.05,7968.83,8357.51,6242.59
235,236,2020-05-01,8623.61,9065,8619.84,8830.52,417820,445.16,8139.63,7360.24,7973.08,8582.29,6138.19
236,237,2020-05-02,8830.52,9020,8755.01,8975.18,295770,264.99,8345.51,7431.53,7978.46,8810.75,6052.32
237,238,2020-05-03,8975.18,9200,8727.24,8900,451323,472.76,8517.77,7493.22,7984.07,8991.51,5994.94
238,239,2020-05-04,8899.99,8954.94,8526,8873.98,440135,428.94,8674.91,7557.04,7986.73,9150.14,5963.94
239,240,2020-05-05,8873.99,9118.17,8766.12,9022.78,409920,352.05,8858.77,7643.64,7987.83,9311.96,5975.31
240,241,2020-05-06,9022.76,9405,8916.01,9148.27,507754,488.99,8910.78,7734.6,7985.3,9474.56,5994.64
241,242,2020-05-07,9148.29,10080,9022,9995,738920,1058,9106.53,7858.38,7992.21,9781.72,5935.03
242,243,2020-05-08,9994.74,10045,9726,9807.49,458034,319.03,9246.1,7977.32,7995.05,10001.8,5952.82
243,244,2020-05-09,9809.63,9923.98,9528.23,9550.67,411942,395.75,9328.31,8084.78,7996.93,10147.9,6021.65
244,245,2020-05-10,9550.25,9580,7940,8719.53,842909,1640,9302.53,8168.89,7990.13,10152.6,6185.19
245,246,2020-05-11,8723.23,9164,8151.12,8561.09,805165,1012.88,9257.83,8227.4,7982.28,10165.3,6289.53
246,247,2020-05-12,8560.73,8981,8520.43,8808.71,369716,460.57,9227.25,8298.85,7977.31,10182.6,6415.13
247,248,2020-05-13,8808.71,9397,8790.04,9305.91,379719,606.96,9249.77,8381.39,7978.4,10253,6509.75
248,249,2020-05-14,9305.91,9950,9250.66,9786.8,602528,699.34,9220.03,8488.15,7979.99,10364,6612.31
249,250,2020-05-15,9787.62,9843.5,9100,9310.73,504107,743.5,9149.06,8587.56,7975.26,10356.6,6818.53
250,251,2020-05-16,9311.21,9585,9210.03,9374.99,287768,374.97,9123.97,8689.04,7970.75,10326,7052.05
251,252,2020-05-17,9374.99,9880,9317.16,9678.57,300859,562.84,9260.97,8791.38,7968.45,10337,7245.73
252,253,2020-05-18,9677.31,9958.67,9450,9731.1,363732,508.67,9428.12,8881.29,7964.04,10370.4,7392.21
253,254,2020-05-19,9731.11,9900,9462,9773.64,376314,438,9565.96,8972.07,7963.12,10386.2,7557.99
254,255,2020-05-20,9772.66,9838,9281.42,9508.11,334424,556.58,9594.85,9051.04,7955.83,10346,7756.1
255,256,2020-05-21,9508,9573,8812.2,9060,461439,760.8,9491.02,9105.67,7942.9,10270.8,7940.51
256,257,2020-05-22,9060,9259.38,8920,9166.4,276008,339.38,9470.4,9161.37,7932.06,10185.9,8136.8
257,258,2020-05-23,9166.43,9300,9076.9,9176.41,201590,223.1,9442.03,9218.99,7920.14,10054,8384.01
258,259,2020-05-24,9176.32,9294.44,8674,8711.37,339643,620.44,9303.86,9216.08,7907.98,10057.9,8374.29
259,260,2020-05-25,8711.37,8977,8623.38,8895.65,302980,353.62,9184.51,9226.92,7897.62,10043.6,8410.24
260,261,2020-05-26,8895.66,9011.82,8693.18,8837.05,275619,318.64,9050.71,9227.18,7888.74,10043.3,8411.03
261,262,2020-05-27,8837.88,9230,8811,9197.32,272254,419,9006.31,9236.06,7878.87,10045.6,8426.54
262,263,2020-05-28,9197.32,9621.65,9110.97,9569.59,327412,510.68,9079.11,9262.85,7878.63,10070.3,8455.34
263,264,2020-05-29,9569.58,9598,9317.42,9422.26,238691,280.58,9115.66,9284.78,7876.81,10077.9,8491.63
264,265,2020-05-30,9422.11,9753,9326.01,9695,255234,426.99,9189.75,9311.67,7876.95,10113.3,8509.99
265,266,2020-05-31,9694.38,9698,9371.76,9446.43,219829,326.24,9294.76,9323.59,7874.8,10124,8523.17
266,267,2020-06-01,9446.49,10497.2,9420.85,10232.5,333740,1076.4,9485.74,9333.09,7877.72,10171.5,8494.73
267,268,2020-06-02,10232.4,10262.3,9264.15,9514.9,354169,998.15,9582.57,9321.39,7876.23,10140.1,8502.69
268,269,2020-06-03,9514.9,9694.75,9382.33,9663.59,185389,312.42,9649.18,9325.91,7879.64,10151.1,8500.71
269,270,2020-06-04,9663.58,9884,9440,9788.33,264515,444,9680.43,9368.66,7889.7,10173.4,8563.87
270,271,2020-06-05,9788.32,9855,9580.52,9617.29,237103,274.48,9708.29,9410.91,7897.67,10147,8674.79
271,272,2020-06-06,9616.64,9738.77,9528,9664,152527,210.77,9703.86,9445.12,7907.41,10143.1,8747.11
272,273,2020-06-07,9664.01,9823.13,9373,9743.92,253986,450.13,9746.36,9462.64,7919.66,10168,8757.24
273,274,2020-06-08,9743.92,9816,9631,9778.87,162086,185,9681.56,9462.32,7932.19,10167.1,8757.52
274,275,2020-06-09,9778.87,9890,9550.03,9771.66,204423,339.97,9718.24,9480.76,7940.8,10193.1,8768.41
275,276,2020-06-10,9771.66,10016,9681.21,9884.99,193628,334.78,9749.87,9501.16,7952.11,10229.9,8772.4
276,277,2020-06-11,9884.99,9970.1,9055.07,9278.03,404047,915.03,9676.97,9485.14,7957.37,10215.2,8755.02
277,278,2020-06-12,9277.72,9550,9238,9458.91,211611,312,9654.34,9474.25,7961.38,10197.2,8751.34
278,279,2020-06-13,9458.77,9497.85,9340,9468.54,113449,157.85,9626.42,9462.04,7964.7,10174.1,8749.97
279,280,2020-06-14,9468.55,9477,9240.97,9339.61,143979,236.03,9568.66,9455.3,7969.17,10168.7,8741.86
280,281,2020-06-15,9339.7,9490.83,8888.43,9422.01,413866,602.4,9517.68,9469.79,7983.14,10164.2,8775.33
281,282,2020-06-16,9422.01,9595,9370,9519.12,225713,225,9481.6,9483.89,7999.17,10166.9,8800.88
282,283,2020-06-17,9519.13,9569,9231.03,9458.45,227477,337.97,9420.67,9495.18,8014.94,10166.2,8824.11
283,284,2020-06-18,9458.45,9483.85,9272.41,9381.59,158349,211.44,9435.46,9521.98,8029.52,10111.1,8932.84
284,285,2020-06-19,9381.99,9453,9239,9307,219510,214,9413.76,9538.44,8075.4,10075.4,9001.52
285,286,2020-06-20,9307,9394.29,9165,9354.04,154462,229.29,9397.4,9559.12,8113.62,10017.6,9100.67
286,287,2020-06-21,9353.84,9420.47,9279,9293.51,110600,141.47,9390.82,9562.97,8155.3,10010.2,9115.69
287,288,2020-06-22,9293.39,9795,9273,9686.99,260562,522,9428.67,9567.66,8199.03,10017.7,9117.64
288,289,2020-06-23,9686.99,9723.23,9585,9631.66,164674,138.23,9444.75,9576.04,8245.55,10022.6,9129.51
289,290,2020-06-24,9631.65,9678,9210,9298.4,300450,468,9421.88,9560.17,8285.87,10017.1,9103.2
290,291,2020-06-25,9298.78,9350.9,9005,9246.75,272566,345.9,9402.62,9552.19,8324.83,10024.2,9080.19
291,292,2020-06-26,9246.75,9297.16,9038.52,9159.99,249349,258.64,9381.62,9509.29,8355.13,9913.77,9104.8
292,293,2020-06-27,9159.99,9195.75,8816.4,9008,237840,379.35,9332.19,9489.01,8383.46,9940.42,9037.6
293,294,2020-06-28,9008,9188,8932.68,9114,153843,255.32,9306.54,9467.03,8413.06,9936.19,8997.86
294,295,2020-06-29,9114.01,9233,9022,9189.48,176661,211,9235.47,9443.07,8447.19,9904.98,8981.17
295,296,2020-06-30,9189.99,9205,9063.97,9138.87,143470,141.03,9165.07,9423.94,8474.21,9895.31,8952.56
296,297,2020-07-01,9138.88,9293,9090,9233.29,161642,203,9155.77,9406.71,8499.39,9872.98,8940.43
297,298,2020-07-02,9233.29,9262.99,8936,9087.72,230748,326.99,9133.05,9380.46,8523.77,9841.49,8919.43
298,299,2020-07-03,9087.72,9124.52,9036.06,9057.52,96947.3,88.46,9118.41,9351.61,8547.25,9798.82,8904.39
299,300,2020-07-04,9058.07,9194,9042.84,9137.18,100215,151.16,9136.87,9326.23,8575.36,9745.25,8907.21
300,301,2020-07-05,9137.18,9146.35,8900,9071.86,139546,246.35,9130.85,9293.7,8604.06,9654.14,8933.26
301,302,2020-07-06,9071.87,9379,9058.1,9339.6,199644,320.9,9152.29,9296.16,8639.04,9657,8935.33
302,303,2020-07-07,9339.59,9380,9201.23,9258.51,127834,178.77,9169.38,9288.15,8668,9642.77,8933.53
303,304,2020-07-08,9258.51,9470,9233.47,9436.08,170243,236.53,9198.35,9286.85,8698.6,9638.95,8934.75
304,305,2020-07-09,9436.08,9440.81,9164.33,9236.28,188356,276.48,9219.58,9282.72,8724.81,9634.66,8930.77
305,306,2020-07-10,9236.29,9317.24,9121.42,9288.39,140850,195.82,9252.56,9277.37,8750.03,9624.53,8930.22
306,307,2020-07-11,9288.39,9301.74,9178.91,9233.5,74976.5,122.83,9266.32,9265.95,8775.32,9598.44,8933.45
307,308,2020-07-12,9233.5,9349,9155,9300.69,127842,194,9299.01,9259.64,8800.06,9582.76,8936.51
308,309,2020-07-13,9300.7,9345,9200,9241.2,136118,145,9284.95,9254.02,8825.04,9573.17,8934.87
309,310,2020-07-14,9241.18,9279,9116,9254.17,129704,163,9284.33,9251.91,8844.52,9570.3,8933.52
310,311,2020-07-15,9254.17,9272.56,9156,9197.3,104108,116.56,9250.22,9245.64,8864.76,9561.81,8929.46
311,312,2020-07-16,9197.75,9223,9044.02,9132,148089,178.98,9235.32,9239.18,8882.68,9557.87,8920.49
312,313,2020-07-17,9132,9187,9087,9151.69,80940.6,100,9215.79,9217.77,8901.6,9477.58,8957.95
313,314,2020-07-18,9151.7,9210,9121.98,9171.8,63233.6,88.02,9206.98,9199.37,8924.98,9394.04,9004.7
314,315,2020-07-19,9171.79,9239.59,9108,9210.51,75554.6,131.59,9194.1,9195.86,8948.58,9386.2,9005.51
315,316,2020-07-20,9210.68,9221,9131.01,9161.13,72429.7,89.99,9182.66,9192.43,8971.41,9382.04,9002.82
316,317,2020-07-21,9161.28,9439.6,9152.62,9388.01,179211,286.98,9201.78,9201.55,8997.21,9406.01,8997.09
317,318,2020-07-22,9388,9543,9272,9518.25,126599,271,9247.63,9221.96,9024.02,9446.78,8997.15
318,319,2020-07-23,9518.25,9678.32,9439.86,9604.41,166990,238.46,9315.11,9241.58,9054.2,9508.74,8974.42
319,320,2020-07-24,9604.41,9650,9470,9539.7,133975,180,9370.54,9255.59,9078.86,9546.99,8964.18
320,321,2020-07-25,9539.7,9735.1,9526.31,9701.49,133378,208.79,9446.21,9278.09,9105.92,9615.25,8940.94
321,322,2020-07-26,9701.54,10300,9655.2,9939.69,261999,644.8,9550.38,9306.35,9133.16,9734.09,8878.6
322,323,2020-07-27,9939.68,11488,9928.61,11047.6,744752,1559.39,9819.88,9384.74,9172.86,10193.9,8575.6
323,324,2020-07-28,11047.6,11270,10580,10919.9,499487,690,10038.7,9459.24,9214.22,10462.5,8455.98
324,325,2020-07-29,10919.9,11364.8,10844.3,11113,356189,520.46,10266.5,9538.27,9257.4,10729.5,8347.03
325,326,2020-07-30,11113,11195.5,10826.5,11112,230328,368.97,10481.9,9619.88,9297.72,10949.5,8290.29
326,327,2020-07-31,11112,11450.4,10971.8,11343.7,307400,478.64,10739.6,9700.04,9336.71,11191.1,8209
327,328,2020-08-01,11343.7,11887.5,11201,11811.4,386323,686.45,11041,9802.16,9380.22,11502.2,8102.09
328,329,2020-08-02,11811.4,12154.2,10490,11079.7,492803,1664.25,11203.9,9867.9,9416.04,11634.8,8101.01
329,330,2020-08-03,11080.7,11483,10923,11227.1,238655,560,11229.5,9947.53,9451.72,11774.3,8120.81
330,331,2020-08-04,11227.1,11427.4,11025,11200,200045,402.38,11269.6,10024,9486.33,11895.2,8152.75
331,332,2020-08-05,11200.1,11798.6,11103,11752.5,263510,695.56,11360.9,10124.8,9526.9,12087.7,8161.83
332,333,2020-08-06,11752.5,11916,11571.8,11770.6,236460,344.24,11455,10223.6,9557.07,12260.9,8186.23
333,334,2020-08-07,11770,11920,11318.9,11596.1,273935,601.07,11491.1,10317.8,9587.08,12383.4,8252.11
334,335,2020-08-08,11596.3,11819,11513.7,11765.7,154707,305.31,11484.5,10418.2,9616.73,12512.4,8324
